act_id,issue_date,voting_date
"3213-5","2012-11-27","2012-12-20"
"3234-4","2013-03-27","2013-04-22"
"3237-2","2012-04-25","2013-05-13"
"3243-1","2013-05-29","2013-06-06"
"3243-3","2013-01-14","2013-06-06"
"3243-4","1970-01-01","2013-06-06"
"3247-1","1970-01-01","2013-06-20"
"3247-2","2013-06-26","2013-06-20"
"3247-3","2013-06-26","2013-06-20"
"3247-6","1970-01-01","2013-06-20"
"3254-2","2013-08-12","2013-07-22"
"3254-3","2013-08-12","2013-07-22"
"3254-1","2013-08-12","2013-07-22"
"3254-4","2013-07-11","2013-07-22"
"3254-5","2013-07-11","2013-07-22"
"3260-1","2013-10-22","2013-10-07"
"3265-3","2013-10-22","2013-10-17"
"3271-08","2013-10-24","2013-11-15"
"3271-09","2013-11-20","2013-11-15"
"3271-10","2013-10-22","2013-11-15"
"3271-11","2013-02-28","2013-11-15"
"3278-05","2013-11-29","2013-12-05"
"3287-1","2013-12-12","2013-12-17"
"3287-4","2013-12-11","2013-12-17"
"3290-01","2014-02-04","2014-01-28"
"3292-4","2014-01-30","2014-02-11"
"3292-5","2014-01-30","2014-02-11"
"3292-6","2013-05-22","2014-02-11"
"3293-4","2013-05-15","2014-02-17"
"3295-06","2014-02-17","2014-02-20"
"3295-07","2014-02-14","2014-02-20"
"3295-08","2014-02-26","2014-02-20"
"3295-09","2014-02-26","2014-02-20"
"3295-10","2014-02-26","2014-02-20"
"3295-11","2014-02-26","2014-02-20"
"3295-12","2014-02-26","2014-02-20"
"3295-13","2014-02-26","2014-02-20"
"3295-14","2014-02-26","2014-02-20"
"3295-15","2013-02-27","2014-02-20"
"3303-02","2014-03-07","2014-03-14"
"3303-03","2014-03-07","2014-03-14"
"3303-04","2014-03-10","2014-03-14"
"3307-01","2014-01-10","2014-03-24"
"3307-02","2014-01-10","2014-03-24"
"3307-03","2014-03-21","2014-03-24"
"3307-09","2014-03-07","2014-03-24"
"3308-05","2014-01-20","2014-04-14"
"3308-06","2014-04-16","2014-04-14"
"3308-08","1970-01-01","2014-04-14"
"3308-10","2014-01-08","2014-04-14"
"3308-11","2014-04-16","2014-04-14"
"3327","2014-06-27","2014-07-08"
"3334-03","2014-10-22","2014-09-29"
"3334-05","2014-09-17","2014-09-29"
"3344-001","2014-06-24","2014-11-10"
"3356-01","2014-12-05","2014-12-09"
"3366-1","2014-12-17","2015-01-27"
"3366-2","2015-01-13","2015-01-27"
"3371-6","2015-02-18","2015-03-02"
"3402-02","2015-09-09","2015-07-13"
"3043-1","1970-01-01","2010-11-08"
"3063-1","2011-01-13","2011-01-24"
"3067","2011-02-04","2011-02-15"
"3070-3","1970-01-01","2011-02-21"
"3072-2","1970-01-01","2011-02-28"
"3079-1","2011-03-09","2011-03-21"
"3079-2","1970-01-01","2011-03-21"
"3081-3","2011-03-16","2011-04-11"
"3093-2","2011-05-13","2011-05-27"
"3093-3","2011-03-22","2011-05-27"
"3093-4","1970-01-01","2011-05-27"
"3103--5","2011-06-16","2011-06-21"
"3108-1","2011-09-14","2011-07-19"
